nu_omega,FPR,TPR,FP,TN,FN,TP,MSE,NumSelected,CoefL2,Alpha0,Beta0
0,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50,79.7740887431447
0.03,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.015,79.7745387431447
0.06,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.03,79.7758887431447
0.09,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.045,79.7781387431448
0.12,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.06,79.7812887431447
0.15,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.075,79.7853387431447
0.18,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.09,79.7902887431447
0.21,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.105,79.7961387431447
0.24,0,1,0,977,0,26,0.283935716815397,26,0.989913400015953,50.12,79.8028887431447
0.27,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.135,79.8105387431447
0.3,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.15,79.8190887431447
0.33,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.165,79.8285387431447
0.36,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.18,79.8388887431448
0.39,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.195,79.8501387431447
0.42,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.21,79.8622887431447
0.45,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.225,79.8753387431447
0.48,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.24,79.8892887431447
0.51,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.255,79.9041387431447
0.54,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.27,79.9198887431447
0.57,0,1,0,977,0,26,0.283935716814141,26,0.989913400015953,50.285,79.9365387431448
0.6,0,1,0,977,0,26,0.283935716805839,26,0.989913400015953,50.3,79.9540887431448
0.63,0,1,0,977,0,26,0.283935716805839,26,0.989913400015953,50.315,79.9725387431447
0.66,0,1,0,977,0,26,0.283935716805839,26,0.989913400015953,50.33,79.9918887431447
0.69,0,1,0,977,0,26,0.283935716805839,26,0.989913400015953,50.345,80.0121387431447
0.72,0,1,0,977,0,26,1.81073696993289,26,0.989913400015953,50.36,80.0332887431448
0.75,0,1,0,977,0,26,1.81073696993289,26,0.989913400015953,50.375,80.0553387431447
0.78,0,1,0,977,0,26,1.81073696993289,26,0.989913400015953,50.39,80.0782887431447
0.81,0,1,0,977,0,26,1.81073696993289,26,0.989913400015953,50.405,80.1021387431447
0.84,0,1,0,977,0,26,1.81073696993289,26,0.989913400015953,50.42,80.1268887431447
0.87,0,1,0,977,0,26,1.81073696993289,26,0.989913400015953,50.435,80.1525387431447
0.9,0,0.961538461538462,0,977,1,25,2.23481368014044,25,2.39588580935378,50.45,235.175659358771
0.93,0,0.961538461538462,0,977,1,25,2.23481368014044,25,2.39588580935378,50.465,235.203109358771
0.96,0,0.961538461538462,0,977,1,25,3.17241100846068,25,2.39588580935378,50.48,235.231459358771
0.99,0,0.961538461538462,0,977,1,25,3.17241100846068,25,2.39588580935378,50.495,235.260709358771
1.02,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.51,235.290859358771
1.05,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.525,235.321909358771
1.08,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.54,235.353859358771
1.11,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.555,235.386709358771
1.14,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.57,235.420459358771
1.17,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.585,235.455109358771
1.2,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.6,235.490659358771
1.23,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.615,235.527109358771
1.26,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.63,235.564459358771
1.29,0,0.961538461538462,0,977,1,25,3.41134508412334,25,2.39588580935378,50.645,235.602709358771
1.32,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.66,235.641859358771
1.35,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.675,235.681909358771
1.38,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.69,235.722859358771
1.41,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.705,235.764709358771
1.44,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.72,235.807459358771
1.47,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.735,235.851109358771
1.5,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.75,235.895659358771
1.53,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.765,235.941109358771
1.56,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.78,235.987459358771
1.59,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.795,236.034709358771
1.62,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.81,236.082859358771
1.65,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.825,236.131909358771
1.68,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.84,236.181859358771
1.71,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.855,236.232709358771
1.74,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.87,236.284459358771
1.77,0,0.961538461538462,0,977,1,25,3.4113450841238,25,2.39588580935378,50.885,236.337109358771
1.8,0,0.961538461538462,0,977,1,25,3.41134508412406,25,2.39588580935378,50.9,236.390659358771
1.83,0,0.961538461538462,0,977,1,25,3.41134508412335,25,2.39588580935378,50.915,236.445109358771
1.86,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,50.93,236.500459358771
1.89,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,50.945,236.556709358771
1.92,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,50.96,236.613859358771
1.95,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,50.975,236.671909358771
1.98,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,50.99,236.730859358771
2.01,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.005,236.790709358771
2.04,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.02,236.851459358771
2.07,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.035,236.913109358771
2.1,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.05,236.975659358771
2.13,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.065,237.039109358771
2.16,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.08,237.103459358771
2.19,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.095,237.168709358771
2.22,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.11,237.234859358771
2.25,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.125,237.301909358771
2.28,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.14,237.369859358771
2.31,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.155,237.438709358771
2.34,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.17,237.508459358771
2.37,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.185,237.579109358771
2.4,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.2,237.650659358771
2.43,0,0.961538461538462,0,977,1,25,3.41134508412415,25,2.39588580935378,51.215,237.723109358771
2.46,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.23,237.796459358771
2.49,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.245,237.870709358771
2.52,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.26,237.945859358771
2.55,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.275,238.021909358771
2.58,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.29,238.098859358771
2.61,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.305,238.176709358771
2.64,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.32,238.255459358771
2.67,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.335,238.335109358771
2.7,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.35,238.415659358771
2.73,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.365,238.497109358771
2.76,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.38,238.579459358771
2.79,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.395,238.662709358771
2.82,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.41,238.746859358771
2.85,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.425,238.831909358771
2.88,0,0.961538461538462,0,977,1,25,3.41134508412283,25,2.39588580935378,51.44,238.917859358771
2.91,0,0.115384615384615,0,977,23,3,52.3265267669266,3,6.51513594079761,51.455,2707.49277497457
2.94,0,0.115384615384615,0,977,23,3,52.3265267669266,3,6.51513594079761,51.47,2707.58052497457
2.97,0,0.115384615384615,0,977,23,3,52.3265267669266,3,6.51513594079761,51.485,2707.66917497457
3,0,0.115384615384615,0,977,23,3,52.3265267669266,3,6.51513594079761,51.5,2707.75872497457
